LSK-4-36-0.5,,,,
Time/min,Anhyd,acid ,urea,EDC
0,0,46.68,0,
1.05,8.9325,27.165,12.6,7.49
2.05,11.085,22.59,16.26,3.2
3.32,11.175,23.16,18.94,1.77
4.59,10.065,25.425,20.89,0.27
5.89,8.955,26.91,21.13,0.04
7.14,7.7925,29.625,21.52,0.02
8.39,6.555,31.665,20.89,0.03
9.67,5.445,34.29,20.9,0.08
10.94,4.68,35.49,21.2,0.01
12.19,4.035,37.2,21.07,0.04
13.44,3.0825,38.475,21.48,0
14.7,2.4675,39.765,21.33,0.02
15.97,2.34,41.16,21.62,0.01
17.22,1.6725,40.02,21.36,0.03
18.49,1.71,43.23,21.55,0.04
19.74,1.62,42.93,21.28,0.11
21,0.8925,44.22,21.41,0
22.27,0.585,43.635,21.17,0
23.54,0.12,44.385,20.95,0
24.8,0.1275,44.7,20.6,0
26.65,0.0375,43.71,21.52,0
27.9,0.0525,45.3,21.2,0.02
,,,,
LSK-4-36-0.75,,,,
Time/min,Anhyd,acid ,urea,EDC
0,0,46.68,0,
1.07,12.8775,19.08,18.55,15.23
2.09,14.85,16.545,23.71,9.36
3.35,14.8575,17.22,27.36,5.98
4.6,12.75,18.84,30.48,3.47
5.85,11.295,21.72,31.82,2
7.1,10.275,24.3,33.51,0.8
8.37,9.255,26.61,33.88,0.4
9.64,7.7175,30,34.02,0.1
10.9,6.63,32.13,34.59,0.15
12.17,5.5425,33.825,34.08,0.15
13.42,4.5675,35.325,33.41,0.08
14.69,3.9675,37.425,34.71,0.04
15.94,3.48,38.73,33.99,0.03
17.19,2.73,38.7,33.93,0.05
18.45,2.4375,40.41,34.68,0.43
19.72,2.1675,40.8,33.92,0.09
20.97,1.8,41.49,34.07,0.16
22.22,1.515,40.92,33.49,0.16
23.49,1.2075,42.855,34.67,0.02
24.74,0.9525,43.02,34.14,0.22
25.99,0.945,43.035,34,0.15
27.25,0.705,44.4,34.72,0.09
,,,,
LSK-4-36-1,,,,
Time/min,Anhyd,acid ,urea,EDC
0,0,46.68,0,
1.19,15.0075,15.6,22.44,21.33
2.19,15.6075,13.335,27.83,15.43
3.44,15.045,14.055,33.06,10.4
4.69,14.97,16.38,36.87,6.53
5.97,13.3425,18.435,39.82,3.81
7.24,12.2775,21.045,41.47,2.19
8.49,10.8525,24.15,42.74,1.1
9.75,9.375,26.61,43.5,0.76
11.02,7.4775,29.115,42.6,0.54
12.27,6.3825,31.59,43.89,0.31
13.54,5.6175,33.93,43.52,0.53
14.8,4.7025,35.61,43.65,0.36
16.05,4.1025,37.65,43.83,0.52
17.34,3.27,38.88,43.54,0.19
18.59,2.94,39.6,43.47,0.27
19.85,2.5425,40.5,44.04,0.49
21.12,2.0625,41.13,43.78,0.44
22.37,1.725,41.79,43.48,0.27
23.64,1.4025,42.45,43.16,0.38
24.89,1.47,42.33,43.39,0.29
26.15,1.1025,43.365,43.57,0.31
27.4,0.87,43.62,44.33,0.24
,,,,
LSK-4-42,,,,
Time/min,Anhyd,acid ,urea,EDC
0,0,25.11,0,
1,4.08,15.48,7.01,11.37
2.02,5.0925,13.365,10.7,7.95
3.27,4.62,13.365,13.49,4.94
4.57,4.095,15.285,15.58,3.03
5.82,3.4725,16.32,17.06,1.73
7.07,2.8725,17.76,18.19,0.86
8.34,2.0325,19.08,18.82,0.5
9.59,1.605,20.235,18.62,0.25
10.85,1.02,21.33,18.84,0.02
12.1,0.69,21.345,18.8,0.03
13.35,0.5175,22.56,18.9,0
14.62,0.2175,22.275,18.83,0.03
15.87,0.135,22.68,18.84,0.1
17.14,0.015,22.92,19.04,0.12
18.39,0.09,23.055,18.77,0.04
19.65,0,23.07,18.59,0.01
20.9,0,23.25,18.7,0.06
22.17,0,23.07,18.73,0.07
23.27,0,23.985,19.07,0.09
24.69,0.0075,23.16,19.05,0.05
25.95,0,23.22,18.85,0.06
,,,,
LSK-4-51,,,,
Time/min,Anhyd,acid ,urea,EDC
0,0,12.525,0,
1.12,1.17,9.435,2.85,7.02
1.62,1.29,8.925,3.59,5.98
2.14,1.35,8.835,4.4,5.08
2.64,1.44,9.33,5.25,4.33
3.39,1.2375,9.345,6.07,3.49
4.65,1.0275,9.51,7.28,2.41
5.9,0.7875,9.795,8.02,1.63
7.15,0.2925,10.65,8.7,1.04
8.42,0.3075,10.665,9.06,0.73
9.69,0.0675,11.46,9.42,0.39
10.94,0.045,11.31,9.69,0.19
12.2,0,11.28,9.65,0.19
13.47,0,11.49,9.89,0.11
